,string,position
387,але чому ви,7
388,але щойно їжа,5
389,але якщо пош,7
390,бом вмістив у,9
391,ька головна тор,5
392,ька головна тор,7
393,ька головна тор,10
394,ого телеканалу fox,11
395,ькі сигарети у,9
396,ькі слідчі спо,6
397,ики запропонували їй,14
398,ліз запозичених укр,9
399,кий ботанік джо,7
400,кий король при,7
401,йці непевні тут,5
402,рій окинув кам,6
403,рій павелко под,7
404,рія ворона пот,5
405,рія петровича над,8
406,ела знайшла у,10
407,ела побувала без,9
408,ела просто хот,6
409,елу саме до,5
410,ету або зав,4
411,нні запропонував оди,14
412,ьку машинописну лис,11
413,ння кваліфікаційного ате,14
414,ані відданий яки,8
415,ані силою рек,5
416,ніж середня різ,7
417,ату верховної рад,8
418,ура була виг,7
419,ого соку має,5
420,бію обов’язково вст,12
421,шти постійно про,8
422,ний майстер нал,5
423,ною стукавнею в,11
424,мії відсутню сис,8
425,ист україни оле,8
426,ого музею в,7
427,ної мапи рай,5
428,ури подолу і,7
429,кти руху люд,5
430,том цієї бор,6
431,ата енергоаудитора чи,13
432,йна комісія роз,7
433,ним повітрям і,7
434,ної енергетики в,9
435,тів танцюють пов,8
436,віц відкрили сол,9
437,еїн згідно зі,6
438,б заграничні кор,8
439,б краще опи,4
440,б можна щон,3
441,б один час,4
442,б питання до,5
443,б порівняти з,8
444,б почуття сол,8
445,б правити і,4
446,б роздобути тро,8
447,б себе на,5
448,б театр міг,4
449,б точно не,3
450,б трохи дит,4
451,б хотілося вик,5
452,б цього пер,4
453,б історія йог,5
454,аба намотувала на,7
455,ому залізному нос,7
456,бцю зоню заа,5
457,бцю зоню і,5
458,ата народня мов,7
459,ато грошей і,8
460,ато земель я,7
461,ато значать шту,6
462,ато крадіжок з,8
463,ато надій пок,7
464,ато наших бра,5
465,ато століть бур,8
466,ато талантів та,7
467,ато таємниць при,6
468,ато цікавих для,7
469,ато чого у,7
470,ато чоловіків з,11
471,ато шкодив їм,6
472,ато інших її,4
473,них терпців та,9
474,тві народньої фра,7
475,ьма іншими мет,4
476,ьох людей пої,7
477,ьох інших еле,4
478,них напрямків роб,5
479,них наслідків флі,5
480,ння впитися паз,6
481,ння ілюстрації джи,10
482,аза висне і,5
483,арі можна бул,5
484,ази даних фах,5
485,ові тарифи на,7
486,юча мати яни,5
487,аки біля сад,5
488,лії харківської обл,5
489,ких подіях xii,5
490,уна войцеха з,5
491,ому хабарі за,9
492,деш володіє 3,9
493,ити дозволяють соб,10
494,нею високо вго,7
495,ові тарахнули з,7
496,нку валерія гон,7
497,кий рахунок пла,7
498,рак згуртували цю,11
499,рах ніколи не,7
500,ичу анатолію вла,8
501,йон називався му,9
502,ону майбутнього гер,8
503,ька відправляють до,12
504,кам вони каз,7
505,ами або род,6
506,ами ледве про,5
507,ами ледве про,8
508,"ами обов""язково пов",12
509,ьки були йог,7
510,ько привіз з,8
511,ння можливої уча,8
512,ить зміну мов,8
513,без будь-яких поя,5
514,без жадної заб,5
515,без звичних сце,6
516,без макаяжу тих,8
517,без найменшого риз,8
518,без непотрібних зві,10
519,без непристойностей і,11
520,без перерви по,7
521,без письмової зго,9
522,без погодження з,7
523,без подальших нас,5
524,без помилки пок,5
525,без своїх люд,7
526,без слави й,6
527,без страви наг,9
528,без судового нак,7
529,без хвилі ваг,6
530,ого биття люд,8
531,дно розкидану по,8
532,них наших мед,5
533,ого усунення цих,6
534,тну видачу ква,5
535,йна передача тел,9
536,дно перемістився в,12
537,ово назвати прі,8
538,сті переслідувало йог,5
539,ньо впливають на,9
540,ньо співпрацює з,12
541,ого використання як,12
542,ніх учасників нап,6
543,пна міщанська нап,7
544,ття почне роз,8
545,шні командири і,10
546,них або бож,6
547,бек вливав кож,8
548,ере вилкою то,5
549,ега дивлячись зда,5
550,ега стало зро,6
551,ого філармонічного орк,12
552,уть участь мол,4
553,уть участь у,4
554,ься оглядати міс,9
555,них підлогах бур,8
556,ній підлозі у,8
557,ону будуються тіл,7
558,шту андрія пет,8
559,би викинути в,4
560,би позбутися бід,7
561,би хотіла поп,6
562,ила поклонів пер,8
563,них сімей і,5
564,ній чашечці з,7
565,ого голосу гол,5
566,кий товариш поз,7
567,ким соратником дуг,7
568,кої мабуть при,5
569,ькі порівнювані вел,7
570,ими проти сон,6
571,ади орділо на,7
572,дою донецьких зал,7
573,али горилопикі охо,11
574,бо більше не,4
575,бо викладати я,9
576,бо вона ж,6
577,бо вони все,6
578,бо душно й,4
579,бо запах роз,4
580,бо зворушений кав,7
581,бо злилось віл,5
582,бо коли чол,6
583,бо навіть за,6
584,бо перемир’я бул,8
585,бо розпачали над,11
586,бо рудько час,8
587,бо сила пок,4
588,бо ситуація бул,7
589,бо справляють при,9
590,бо тонка гли,4
591,бо швидка вже,8
592,бо щодня стр,7
593,бо якщо нев,6
594,боб марлі якр,5
595,дан антонич сто,7
596,дан вираховував мак,9
597,гит занепала в,9
598,ого піднесення зус,8
599,оки кілька вбо,5
600,оки сплошним мур,10
601,ків компактним шар,8
602,ких емісарів не,8
603,ого гнобительського імп,8
604,кої агітації крі,8
605,яче здавити або,8
606,мбу або в,6
607,ити рідну зем,5
608,ьби нашого нар,7
609,ьбу проти бол,6
610,ьбі поруч з,5
611,ьбі проти нім,6
612,том платформи про,9
613,рту спеціальним обл,8
614,рєю його наз,7
615,осх комусь мож,7
616,іки була у,7
617,ись відвідати род,8
618,вої тактики під,5
619,єць отримав пор,7
620,ося мілітарної мог,9
621,рав один рог,6
622,рав участь у,4
623,рак часу я,5
624,ком творчої сво,6
625,кує книжок про,8
626,ала участі у,4
627,рат здавалося вис,8
628,ата підхоплювали хви,13
629,тво наших нар,5
630,ати участі у,4
631,ого російського нар,7
632,ові змагалися гол,8
633,том відмовилися від,8
634,том гарапником пра,12
635,ькі фінансові уря,7
636,ячі домашні тва,7
637,був арабський нап,6
638,був босом у,5
639,був великим щас,7
640,був виділений філ,5
641,був відокремлений від,7
642,був відокремлений від,10
643,був делеґатом від,9
644,був довгий лис,5
645,був дуже тяж,5
646,був маленький под,5
647,був моїм при,6
648,був обмотаний дек,7
649,був один із,6
650,був однією з,8
651,був останній рік,7
652,був охарактеризований бли,15
653,був первісним зра,5
654,був перший вок,8
655,був пневматичний піс,11
656,був приклеєний пап,9
657,був приліплений вел,8
658,був сусідом мар,7
659,був такий буд,7
660,був тоді в,7
661,був тренером з,6
662,був чесним офі,5
663,був якось дол,4
664,був єдиним у,6
665,вав старенький скр,8
666,ють жінки з,8
667,ває важко за,5
668,ває ледве пом,5
669,вши науковим і,8
670,уде вбирати це,8
671,уде вести нат,8
672,уде вибраний ним,5
673,уде використовувати цей,5
674,уде вкраїнський фей,8
675,уде далеко важ,7
676,уде діяти її,5
677,уде діяти її,6
678,уде констатована осо,9
679,уде можливість пок,8
680,уде обслуговуватися про,10
681,уде об’їздити чим,7
682,уде отримувати зна,7
683,уде потрібно 70,8
684,уде представляти віч,13
685,уде убраних car,4
686,емо говорити ні,9
687,емо доповнювати нов,7
688,ете його від,5
689,деш вважати за,8
690,ках фіксують прі,8
691,нку пола ман,5
692,ова глини в,6
693,ову понад 30,5
694,ові моря вид,5
695,уду більше тоб,5
696,уду жити у,5
697,уть битися за,5
698,уть виявлені або,5
699,уть жертвами наш,5
700,уть справжні рал,7
701,уть термозакріплювальні фар,13
702,уть тільки кві,9
703,ься тільки не,5
704,ємо нову укр,7
705,удь ласка дз,5
706,ким чином пов,5
707,ких інших неп,4
708,ого контенту чи,8
709,кої двозначності в,9
710,яку подію та,7
711,кій сфері жит,6
712,ель розраховуються за,10
713,ків налічує аж,7
714,них об'єктів біл,7
715,ого часу сто,5
716,ній індустрії для,11
717,влі олег дро,6
718,влі через сві,5
719,тва або буд,6
720,тво такої уст,7
721,ове прощальне пер,8
722,ети тільки нек,5
723,ула або жар,6
724,ула азбука мор,4
725,ула витатуйована стр,7
726,ула витатуйована стр,11
727,ула вмонтована в,9
728,ула війна в,8
729,ула військовим міс,10
730,ула доволі без,7
731,ула доволі чис,7
732,ула досить сув,5
733,ула дочка і,8
734,ула жахливо вел,8
735,ула задекларована сві,12
736,ула залізнична кол,10
737,ула зареєстрована як,12
738,ула зухвала на,8
739,ула його най,7
740,ула крамничка іно,9
741,ула мотря ост,5
742,ула навчальна час,8
743,ула найжахливіша сиґ,11
744,ула настільки тає,8
745,ула настільки яск,8
746,ула повна про,5
747,ула повією і,7
748,ула приділена акт,8
749,ула призначена на,6
750,ула прийнята у,6
751,ула публічно ого,8
752,ула підготовка нац,10
753,ула п’ятидверна вол,11
754,ула розкута й,8
755,ула сестрою мог,9
756,ула сніжною і,6
757,ула темна ніч,5
758,ула типовою для,9
759,ула тільки зел,5
760,ула ціла куп,5
761,ула щербиччина в,8
762,ули вдячні за,9
763,ули вивезені сс,5
764,ули виявлені і,5
765,ули вони на,5
766,ули відокремлені від,10
767,ули громадські кур,8
768,ули данило бєл,7
769,ули досить заг,5
770,ули доставлені в,8
771,ули дуже тяж,5
772,ули заповнені ово,5
773,ули значки з,9
774,ули монопланами чис,10
775,ули обговорені кер,9
776,ули поля лав,7
777,ули поруч та,5
778,ули представниками кар,15
779,ули приклеєні кле,9
780,ули піщані бур,7
781,ули розраховані на,10
782,ули слідчі і,6
783,ули справжні роз,7
784,ули тими рок,5
785,ули тоді лиш,7
786,ули тоді ско,7
787,ули яблуневі сад,4
788,ули якраз в,7
789,уло боляче та,5
790,уло велике і,7
791,уло вертатися на,8
792,уло видно два,5
793,уло видно кож,5
794,уло виявлено мін,5
795,уло дуже див,5
796,уло дуже сут,5
797,уло жодної де,5
798,уло загарбання всі,7
799,уло запущено oao,7
800,уло запущено вел,7
801,уло знайдено тра,6
802,уло знайти ост,6
803,уло зовсім бли,5
804,уло зробити тем,8
805,уло його ост,7
806,уло легко пра,5
807,уло майже шіс,5
808,уло мести по-,8
809,уло навіть вси,5
810,уло надіслано тел,7
811,уло належним чин,7
812,уло недавно пли,7
813,уло незаконно змі,9
814,уло нерішучою рук,9
815,уло нікому зах,7
816,уло ніякого суд,6
817,уло оприлюднено у,9
818,уло оточено ще,6
819,уло отримано уль,7
820,уло пам’ятною под,5
821,уло передавати та,11
822,уло передано адв,7
823,уло перекладено л,10
824,уло переписати роз,11
825,уло побачити куп,7
826,уло подружжя сал,8
827,уло позитивним у,9
828,уло попаковане у,7
829,уло приємно бач,7
830,уло пройняте лег,6
831,уло просто наз,6
832,уло півтемно і,8
833,уло підготовлено й,10
834,уло раніше від,7
835,уло робити ста,7
836,уло самому виб,7
837,уло сором і,5
838,уло такого баг,7
839,уло улюбленою збр,6
840,уло частиною їхн,8
841,уло ініційоване роз,10
842,уло їхати дві,4
843,них імпотентів лір,9
844,иво стрекотів і,11
845,ути більшою між,5
846,ути вбраною не,7
847,ути випробуваний дор,5
848,ути виявлений без,5
849,ути віднесений до,8
850,ути датована vi,7
851,ути джерелом гер,8
852,ути доступним в,8
853,ути замінені інш,7
854,ути лише мат,7
855,ути лікарем і,5
856,ути обмежені нуд,7
857,ути передані спе,7
858,ути побудована на,9
859,ути повноправним чле,11
860,ути придатними для,8
861,ути розписаним спр,8
862,ути хрещеною мат,8
863,тлі рожевого вин,7
864,ачі якийсь час,6
865,тів перевищать роз,7
866,юра інформації укр,10
867,ими заготівельниками ікр,11
868,али дахами над,7
869,али щохвилини діз,10
870,ати смугою пер,6
871,ний поліг сер,7
872,учи порохами неа,5
873,мен ринат ахм,7
874,ими колами льв,5
875,йця упа дос,6
876,бік буржуазного ліб,9
877,бік бійців і,5
878,бік сукна був,8
879,іла чоловіча сор,9
880,ого музею дал,7
881,лим обрусом і,4
882,ілл о'райлі зая,7
883,льш або мен,6
884,льш давньому про,5
885,льш консервативним орг,13
886,льш поглибленого ана,8
887,льш прогресивному хаі,11
888,ьше мене тод,7
889,ьше ніде у,7
890,ьше просто дот,6
891,ьше тобі шко,5
892,ьше цікавить суч,7
893,ьше чекаю на,7
894,сті випадків не,7
895,шої кількості пор,5
896,сть британців не,8
897,сть торпед вик,8
898,іля вбитої дик,6
899,іля витовтового бро,10
900,іля голови пах,9
901,іля каварень утв,5
902,іля порепаної бег,7
903,іля самісіньких две,7
904,іля яких бул,6
905,лій спідничці з,9
906,кою називають гал,9
907,в автопарку із,7
908,в адміністрації пре,11
909,в азовському мор,4
910,в академіки від,6
911,в акомпанемент до,4
912,в акомпанемент до,11
913,в акторській сту,5
914,в англійській мов,6
915,в армії від,2
916,в багатьох дис,8
917,в багатьох фра,8
918,в балканських под,6
919,в барвисті спі,6
920,в берліні від,6
921,в бою від,4
922,в будинках фік,5
923,в будинку на,5
924,в будинку №,3
925,в будь-якій сфе,9
926,в будівельній інд,7
927,в букінгемському пал,8
928,в варшаві ґру,6
929,в голові ціл,5
930,в голосі яки,5
931,в горах абх,3
932,в гофрокартонних кор,11
933,в громадському міс,6
934,в грудні кол,4
935,в губах дуж,5
936,в даному нас,3
937,в даному роз,3
938,в дев'ятнадцять рок,9
939,в декларації за,6
940,в делятині бул,7
941,в державних сан,6
942,в дитинстві при,5
943,в договорі роз,3
944,в документальний спо,10
945,в дорослому віц,5
946,в другий бік,4
947,в душі ваш,5
948,в дію ріш,3
949,в дію цим,3
950,в економіку збі,2
951,в експозиції муз,8
952,в екстатичному зах,2
953,в екстреній сит,2
954,в елементарних про,9
955,в ефірі й,4
956,в життя за,6
957,в житті зас,6
958,в житті укр,6
959,в завучку над,3
960,в законах шля,5
961,в залі пле,3
962,в запалі раз,5
963,в захопленні одн,5
964,в західних сус,3
965,в зимі біл,5
966,в зовсім неп,3
967,в зоні бул,3
968,в його гор,5
969,в його очі,3
970,в його рес,5
971,в йому пас,5
972,в казармі зди,5
973,в києві і,3
974,в кожну ста,3
975,в кожній є,3
976,в колясці кар,5
977,в концтаборі неп,7
978,в кордонах чср,6
979,в корінну пол,8
980,в космос пер,3
981,в красную пол,4
982,в краю і,5
983,в країнах снд,5
984,в країні ста,5
985,в кузов авт,3
986,в курінях на,3
987,в курінях на,5
988,в кутку екр,6
989,в кутку зал,6
990,в кінці лип,6
991,в лаву пра,3
992,в люшневатій біл,8
993,в лісі ход,5
994,в майбутній мир,6
995,в мамине пір,3
996,в межах усі,3
997,в мене в,3
998,в мене вже,3
999,в мене вий,3
1000,в мене пом,5
1001,в мене про,3
1002,в мене про,5
1003,в мене так,5
1004,в мовленні вчи,3
1005,в мого зна,3
1006,в момент ков,5
1007,в музеях юго,5
1008,в міжгірському рай,6
1009,в міру теп,3
1010,в наказах дер,5
1011,в напрямку хар,3
1012,в народі з,5
1013,в населених пун,5
1014,в настановах кор,8
1015,в наступному сез,6
1016,в наступній про,6
1017,в науковій тео,6
1018,в нашому сел,3
1019,в нашому сьо,3
1020,в незнайомій міс,8
1021,в неокласичний фра,9
1022,в неї й,3
1023,в нижній час,3
1024,в нижніх і,3
1025,в нинішній свя,3
1026,в новенькому деш,5
1027,в новий про,5
1028,в нього тод,4
1029,в нього тор,6
1030,в ньому зал,4
1031,в ньому ціл,4
1032,в німеччині сти,5
1033,в нічному бар,6
1034,в обличчі неб,5
1035,в обох вип,4
1036,в обслуговуючому бан,8
1037,в обіймах мат,4
1038,в один дім,4
1039,в один муз,4
1040,в один пол,4
1041,в одне ося,5
1042,в одного чол,5
1043,в одному з,2
1044,в одному рес,5
1045,в одній з,5
1046,в одній на,2
1047,в одній із,2
1048,в окремі зош,5
1049,в омеляна пар,6
1050,в організмі люд,7
1051,в оренду стр,4
1052,в основі фот,5
1053,в останні рок,2
1054,в останній мом,5
1055,в оточенні злі,4
1056,в оцінці дея,4
1057,в очікуванні рят,4
1058,в параграфі 53,5
1059,в парі з,3
1060,в первозданній при,9
1061,в першу чер,3
1062,в перші рок,3
1063,в період про,5
1064,в писемних пам,5
1065,в плазмі кро,4
1066,в поблизькому сер,10
1067,в повітря під,5
1068,в подяку за,5
1069,в позаминулому сто,9
1070,в попередніх дво,7
1071,в пригоді й,6
1072,в протоптаному див,6
1073,в процесі пер,6
1074,в піску пос,6
1075,в п’яти від,6
1076,в раді тов,3
1077,в рази біл,5
1078,в рази кор,5
1079,в разі поя,3
1080,в разі їх,3
1081,в районах соб,5
1082,в районі вел,5
1083,в районі дні,5
1084,в районі якл,5
1085,в рамках про,3
1086,в рамках спр,3
1087,в режимі ене,3
1088,в результаті мно,9
1089,в республіці сою,6
1090,в реєстрі не,4
1091,в ритмічній ход,6
1092,в розкішну кра,6
1093,в розмовах з,6
1094,в розмірі 15,3
1095,в розмірі від,6
1096,в розчинене вік,6
1097,в ролі жив,3
1098,в ролі зак,3
1099,в росії єди,5
1100,в ріжні бок,3
1101,в різних сер,3
1102,в різних її,3
1103,в різних її,6
1104,в річці чи,3
1105,в самому кін,5
1106,в своє сел,5
1107,в своєму зак,4
1108,в своїй най,5
1109,в своїй шви,5
1110,в себе кіл,3
1111,в село чин,5
1112,в серпні 201,3
1113,в системі мін,6
1114,в скрутне ста,8
1115,в союзі укр,4
1116,в старчево та,4
1117,в стилі дев,4
1118,в стрімкому вих,8
1119,в суботу гул,5
1120,в сучасній укр,5
1121,в сільських клу,9
1122,в січні роз,3
1123,в таборі бур,3
1124,в такий спо,5
1125,в таких вип,5
1126,в таких сон,5
1127,в таких і,5
1128,в такій ред,5
1129,в такій сит,5
1130,в театрі на,4
1131,в темному м’я,3
1132,в тенетах дал,5
1133,в теплицях гос,6
1134,в тому баг,3
1135,в тому віц,3
1136,в тому фев,3
1137,в торбинку й,3
1138,в травні 191,4
1139,в травні віс,4
1140,в транспортну інф,4
1141,в третьому сві,4
1142,в тямку одн,3
1143,в тісному кон,6
1144,в уга і,4
1145,в угоду при,4
1146,в ужгородському ніч,2
1147,в узькій дол,2
1148,в україні 201,6
1149,в україні в,6
1150,в україні вже,6
1151,в україні виг,6
1152,в україні дія,6
1153,в україні діє,5
1154,в україні заз,6
1155,в україні на,6
1156,в україні тіл,6
1157,в україні фін,6
1158,в україні є,6
1159,в україні ґру,2
1160,в умовах дец,4
1161,в умовах над,4
1162,в умовах рин,4
1163,в управління мін,8
1164,в управлінні ліс,8
1165,в уряді лі,2
1166,в установленому зак,2
1167,в усьому сві,5
1168,в усіх сус,4
1169,в ущельє дия,4
1170,в формі стр,3
1171,в філософічні нет,7
1172,в харкові ком,3
1173,в харкові наш,3
1174,в харківському дер,3
1175,в холодній річ,5
1176,в царині іст,5
1177,в центрі киє,3
1178,в цьому вид,4
1179,в цьому сез,4
1180,в чарах про,3
1181,в червні 197,3
1182,в червні до,3
1183,в четвертому яру,3
1184,в чечні єго,3
1185,в чому річ,3
1186,в чотирикутнику сме,9
1187,в чужу літ,5
1188,в широкому роз,5
1189,в який сам,4
1190,в яких був,4
1191,в яких він,4
1192,в яких ціл,4
1193,в яких і,4
1194,в якому нам,4
1195,в якомусь міс,4
1196,в якості орг,2
1197,в яку так,4
1198,в яку хат,4
1199,в яку я,4
1200,в які б,4
1201,в якій зна,4
1202,в якій кол,4
1203,в якій спі,4
1204,в європі і,5
1205,в ідеалі мал,5
1206,в ізоляції від,6
1207,в імпресіоністичній ман,14
1208,в інституті гір,8
1209,в інституті ми,8
1210,в інтерв’ю для,9
1211,в інтерпретації дав,11
1212,в інфекційні бар,8
1213,в інший бік,2
1214,в інших кра,2
