,string,position
136,40 тысяч час,4
137,400 принимали уча,10
138,"5 марта 43,",3
139,50 знаков дли,5
140,50 квадратных кил,8
141,50 тысяч поп,4
142,50 учебных пол,5
143,000 тысяч бри,5
144,60 километров в,8
145,600 тысяч чел,5
146,7 батонов хле,5
147,700 миллиардов руб,9
148,8 января 132,7
149,80 из-за вво,7
150,80 процентов изб,7
151,80 сокращаемых пой,9
152,0-х годов сов,7
153,800 тысяч из,5
154,0-х годов уро,7
155,008 системы упр,8
156,ple быстро выш,5
157,b находится на,5
158,bmw реализует в,10
159,ack меняется дов,7
160,fia установила жес,11
161,fis пополнилась ком,7
162,nce сократился на,10
163,mer закрепляет его,11
164,h делить на,5
165,i папа отп,3
166,i хильдесхеймского на,10
167,ii подписал акт,9
168,iii века до,5
169,nc. была осн,7
170,ial рухнул на,5
171,kit включает все,9
172,nbc заявляла о,9
173,pm это ока,3
174,ess терри анд,5
175,exo представила тех,10
176,sws компании f10,8
177,oho сняла чет,8
178,iii века вен,5
179,iii веке анг,5
180,xiv века под,5
181,xix века ули,5
182,xvi века пос,5
183,xx века изв,4
184,xx века или,4
185,а администрация пот,11
186,а будете себ,3
187,а ванечку уби,3
188,а вечером уби,3
189,а возглавлять шоу,10
190,а войску дон,3
191,а вполне соз,7
192,а вторая тем,6
193,а главной гер,4
194,а делитель не,5
195,а дело зак,3
196,а доказательствами его,7
197,а если раз,2
198,а еще дес,4
199,а еще ста,4
200,а закончилось все,5
201,а заслуженного мас,6
202,а из-за тог,6
203,а известные рос,5
204,а изгнание ино,6
205,а именно сли,2
206,а какая аль,5
207,а каспаров выи,6
208,а когда вас,6
209,а когда маш,6
210,а когда нач,6
211,а кому и,5
212,а может быт,3
213,а надо был,3
214,а наследование при,6
215,а некоторые из,3
216,а некоторые шаг,3
217,а нужно ли,3
218,а обладающий мен,7
219,а объем нев,5
220,а объем усл,5
221,а ольга анд,2
222,а особенно в,4
223,а особенно тех,4
224,а пока кре,5
225,а поскольку наш,6
226,а последней мас,6
227,а потом упа,5
228,а потому ест,7
229,а потому зап,7
230,а потому рас,7
231,а предлагаются раз,9
232,а предотвращать его,12
233,а прямо в,4
234,а разработанные на,8
235,а роботы дел,3
236,а сегодня в,5
237,а семьи с,3
238,а специалисты оби,9
239,а средняя ско,4
240,а станок исп,6
241,а сформулировать это,9
242,а также вну,3
243,а также усл,3
244,а также фин,3
245,а также эле,3
246,а теперь рос,5
247,а толпа акт,6
248,а третий кон,4
249,а третьего дня,7
250,а уже на,4
251,а уменьшение ста,8
252,а человек еще,5
253,а чемпионом ока,7
254,а чтобы уве,4
255,а это 5-7,4
256,а эффект про,5
257,а. прямо гов,5
258,аку пришёл так,8
259,вич является кру,7
260,ует право вер,6
261,ная вторичность кин,8
262,ной беспощадностью по,10
263,азу баграм под,8
264,ния красноярские ави,10
265,ции последовала пос,8
266,ция наносит уда,7
267,кие эксперты сде,8
268,рии существовали гор,13
269,ции западных рит,5
270,ому стрелковому ору,10
271,иля или вод,4
272,ной политической сис,9
273,оры предлагают цел,9
274,тов иностранных спе,10
275,гат бесперебойного пит,12
276,ции возникает в,10
277,сти ее рол,5
278,ера останавливают дер,7
279,ный ресурс и,7
280,ции юрий злу,4
281,ция одной из,7
282,ких горах дол,7
283,ком районе джа,7
284,мии имени скр,4
285,мии наук ака,6
286,мик владимир гео,8
287,мия наук ссс,6
288,ров настоящими кас,9
289,ции клеток моз,6
290,цию потребительского спр,10
291,вно ведутся раб,7
292,вно обсуждали в,10
293,вно пользуются соз,5
294,вно после вел,5
295,ого внедрения пру,9
296,ной половины пет,9
297,ном участии рос,6
298,сти шивелуча не,7
299,сть чиновников при,7
300,ьна задача дем,7
301,кты эстонской сср,7
302,ндр заинтересовался вез,15
303,дра волошина пос,7
304,дра несколько сот,5
305,дру лебедю сил,5
306,дру северк был,5
307,сей гордеев зая,8
308,сей кудрин осо,5
309,сей кудрин чет,8
310,сей мамонтов счи,5
311,сею навальному до,7
312,ром усмановым для,7
313,бом андрея под,8
314,бом дмитрия рев,6
315,бом считается луч,8
316,изм именно зде,4
317,зма возник сра,8
318,зму показали эфф,9
319,ива голодным бун,7
320,ной серии с,5
321,ные ростки на,9
322,ьди пришёл к,8
323,янс этой нео,4
324,кие исследователи из,8
325,кие исследователи обн,8
326,кие специалисты ста,11
327,кий военнослужащий и,12
328,ких семей име,7
329,ких ученых под,6
330,ого индейца наз,7
331,ого солдата дже,8
332,кой ассоциации пси,10
333,нцы провозгласили при,14
334,ике упал с,6
335,ику иосифа бро,5
336,иак поставляется в,11
337,ене человек укл,9
338,лиз возрастных гру,12
339,иза данных буд,5
340,ать всевозможные заг,11
341,ика появилась сра,8
342,ных применяющимся в,10
343,лий максимов кон,8
344,ких инвесторов в,7
345,еем волковым и,5
346,рей бельянинов и,10
347,рею ерофееву пре,8
348,рея ашкерова и,7
349,кий случай про,6
350,нов изо все,4
351,нна плетнёва при,9
352,сть интернета соз,10
353,кие движения и,8
354,ном правительстве гай,8
355,кую организацию и,11
356,оги подобрали ее,10
357,рат балансирного упр,7
358,рат должен был,5
359,том была пот,7
360,кие эмираты вме,8
361,нду помещения дер,9
362,нды помещений для,9
363,ест нейбора и,5
364,нии составляло око,11
365,мии автоматически дав,11
366,мию паулюса окр,5
367,кое царство кил,5
368,ала альпинистского сна,10
369,кой подготовки вой,10
370,тка россии оль,8
371,сты плохо вжи,6
372,ная дорожная сет,7
373,оги сумели изв,7
374,оги яро шаш,4
375,оха тюхе нах,5
376,аге литке и,5
377,три книга поп,6
378,ану масхадову и,8
379,ции независимых наб,9
380,ции региональных бан,10
381,оид главного поя,6
382,лог предсказывает так,10
383,ома фрэнка дре,6
384,зик александр пан,6
385,еры нарастают от,10
386,том несет оди,7
387,рно гладко и,6
388,мов водорода в,9
389,ции учебного зав,6
390,оры питаются в,7
391,аул тайпа май,5
392,сий филиппович вно,5
393,тан проследовали два,9
394,ана гульбеддин хек,12
395,ане военную под,6
396,рта обошелся мне,8
397,ба имеет сис,5
398,вых журналистских фак,10
399,рке была пар,7
400,кий целлюлозно-бумажный ком,10
401,вра искусств в,7
402,рии окружены вол,11
403,нса никак не,7
404,сом между сем,5
405,тер проводил реп,10
406,ным шагом пош,5
407,тии настаивают на,8
408,ное блуждание по,9
409,анк англии вли,4
410,анк ворвались два,10
411,анк готов пос,7
412,анк готовы жда,7
413,анк следит на,8
414,анк японии нап,6
415,иры заинтересованы в,13
416,ков должны тож,9
417,ких вкладов и,7
418,кую сферу мож,6
419,ере оро пов,4
420,ные луга и,7
421,бас зачастую пло,10
422,йны жидкой вод,5
423,она вспыхнула ссо,7
424,йцы толкали ору,8
425,рея хорошо зам,9
426,эра просто не,6
427,ают сейчас по,8
428,гло взглянуть на,10
429,лым огневым нал,4
430,чее ночное вид,8
431,еда государства и,9
432,ной семье нед,8
433,без взятия отл,6
434,без видимого уху,5
435,без вины оск,7
436,без воды и,7
437,без возможности сам,8
438,без давно уже,8
439,без значительных тер,8
440,без нее не,6
441,без нефти и,5
442,без особого шум,6
443,без печали пов,7
444,без проблем мог,9
445,без проблем сог,9
446,без сигналов из,8
447,без чистого рез,5
448,без этого зак,4
449,ный газированный нап,9
450,ной думы и,5
451,ных наверняка бы,12
452,ние порождает в,10
453,жно устали от,7
454,сть мирного нас,5
455,ого совета при,7
456,лый мужчина с,8
457,лых чаек у,5
458,бен ладен жив,5
459,бен ладена пот,5
460,вым двигателем объ,6
461,ино работает пар,7
462,гам тоже поч,5
463,рия естественным обр,7
464,кая полиция усп,7
465,рут пробы тол,6
466,чно отстаем по,9
467,тва письма чит,5
468,лие кремлевских реф,9
469,ным комментатором пря,11
470,нно рассуждать о,11
471,нес втягивается в,6
472,фию свою пер,7
473,аря помощи зар,5
474,аря разумовскому в,9
475,аря спелеологическим изы,13
476,ные условия для,7
477,нно исполняли пре,10
478,рно сказывается сво,6
479,нет яркий зай,4
480,его востока пос,8
481,ись из-за нео,4
482,уют одна с,7
483,боб после ста,5
484,оба вместе с,6
485,лея представляет соб,13
486,бог дает на,6
487,ами полноценно вы,10
488,тые витамином в3,9
489,тых западных стр,5
490,вых машин реа,7
491,кой цене про,7
492,ном сотворении зем,10
493,есь испугать его,9
494,ать игры и,4
495,йся смотреть на,9
496,цов находилось там,9
497,лее высокой ква,7
498,лее высокую иер,7
499,лее заражаясь инд,9
500,лее значимо то,6
501,лее миллиона сол,9
502,лее низкое зва,5
503,лее отягощены ею,12
504,лее охотно зах,6
505,лее подробная инф,8
506,лее полному исп,5
507,лее половины из,9
508,лее прихотливым и,11
509,лее прозорливым мет,8
510,лее резко вып,5
511,лее семисот авт,9
512,лее сильных пар,5
513,лее скромного жил,7
514,лее сложные зад,6
515,лее сложные и,6
516,лее сложных общ,6
517,лее сорока игр,9
518,лее ударов эти,6
519,лее экономный вар,8
520,оли душевной узн,7
521,оли хронической мед,8
522,том берегу сто,5
523,ьно они соо,6
524,ной гемофилией нас,11
525,ной голове зав,9
526,ных сифилисом чер,5
527,шая собственность обя,5
528,ьше всего зап,8
529,ьше детских сад,5
530,ьше ефимова не,6
531,ьше наращивает сво,7
532,ьше похож на,7
533,ьше прикладных раб,12
534,ьше работать с,7
535,ьше часа про,5
536,шей мере фил,7
537,шей части зем,5
538,шей экономической сво,10
539,шие ротационные печ,10
540,тва видов про,5
541,тва животных агр,7
542,тва обитающих на,8
543,тво граждан наз,6
544,тво установили диз,11
545,ого американского сат,10
546,шое значение соз,8
547,шое количество сол,7
548,шое место в,5
549,шой бизнес все,8
550,шой каньон в,8
551,шой кусок пищ,7
552,шой пожар и,7
553,шом количестве вст,7
554,шом мурашкине и,7
555,шую опасность для,6
556,ься против реж,6
557,орт самолета в,9
558,ких исследованиях в,8
559,знь неведомых пер,7
560,тья поспорили на,8
561,дут куда гла,7
562,сти своего зем,9
563,ада понесла пот,10
564,кий премьер хоч,9
565,ого союза орн,6
566,кой полиции раз,7
567,ика вышел сма,5
568,вой рукой дав,7
569,али кусок плу,7
570,ают вызов гос,5
571,сил взрывное уст,10
572,ось пересматривать сво,10
573,ков этих как,4
574,кая община вос,7
575,тов отличается как,9
576,дем останавливаться на,7
577,дем цепляться к,8
578,дет введен еди,8
579,дет весьма одн,9
580,дет возможно лиш,8
581,дет возможно опр,8
582,дет входить в,8
583,дет вынужден отк,5
584,дет завершена в,10
585,дет инвестиционный кли,13
586,дет использовать биз,7
587,дет купить тог,7
588,дет нарастать на,10
589,дет немного дру,8
590,дет немного шан,8
591,дет нормальный ден,8
592,дет обеспечено раз,9
593,дет обсуждаться сит,10
594,дет позднее исп,9
595,дет полностью зан,5
596,дет получать тол,9
597,дет представлена сра,10
598,дет препятствовать раз,8
599,дет привлечь пож,9
600,дет произнесен ант,12
601,дет развиваться бес,10
602,дет распределена так,15
603,дет решен пос,7
604,дет решить еще,7
605,дет содержать все,10
606,дет теперя пок,7
607,дет уже без,6
608,дет широко пра,9
609,ете покупать себ,9
610,дто бежал быс,7
611,дто ничего не,9
612,дто опаленными мор,8
613,дто религиозные док,10
614,уду говорить о,9
615,уду голосовать за,5
616,уду делать все,5
617,дут аккумулировать ден,11
618,дут его пос,6
619,дут официально пре,9
620,дут очень кст,4
621,дут пользоваться спе,5
622,дут потрачены пят,8
623,дут пошагово про,7
624,дут происходить и,12
625,учи сооснователем stu,11
626,щем внесистемная опп,11
627,щий адмирал пол,9
628,ами или как,6
629,квы его фам,6
630,квы составляют наз,11
631,бум информационных тех,13
632,бон снова ост,6
633,ную реакцию в,6
634,бы вирус пер,4
635,бы выступать в,9
636,бы гораздо бол,6
637,бы еще в,5
638,бы заинтересовать сми,14
639,бы назвать изд,7
640,бы непригодного для,9
641,бы перейти на,9
642,бы просто опа,5
643,бы такая пом,6
644,бы таковые был,8
645,аем сильно ого,5
646,ает большой выб,9
647,его президента срю,10
648,шей внешней мон,6
649,ший американский гос,10
650,ших соцстранах ниж,10
651,ова из-под стр,8
652,был американский анг,10
653,был впервые изд,9
654,был главной при,6
655,был заменить чем,9
656,был занят сво,5
657,был зенитный пул,7
658,был командиром это,10
659,был красивый и,8
660,был научный кла,6
661,был организован фле,11
662,был осуществляться из,13
663,был отменён тол,9
664,был очевиден для,8
665,был посажен в,7
666,был представлен ека,10
667,был провокационный пла,13
668,был пройден тра,6
669,был решен в,7
670,был соединен с,10
671,был создан анс,5
672,был старше и,6
673,был также при,5
674,был удостоен поч,9
675,был устроен при,8
676,был штатным сце,6
677,ыла больше тре,5
678,ыла вместо ска,6
679,ыла возвращена кнр,13
680,ыла добавлена пен,7
681,ыла дополнительная тех,10
682,ыла его сил,6
683,ыла его эмо,6
684,ыла замужем два,5
685,ыла ленинградская сим,11
686,ыла наведена на,11
687,ыла нацелена на,7
688,ыла обнаружена ста,9
689,ыла опубликована ста,11
690,ыла освещена поп,11
691,ыла отягощена тот,12
692,ыла подтверждена в,15
693,ыла поручена мин,7
694,ыла построена рез,9
695,ыла преобразована в,12
696,ыла реализована под,10
697,ыла создана 6,5
698,ыла составлена кар,8
699,ыли ближе к,6
700,ыли видны акк,8
701,ыли времена доб,10
702,ыли готовы уби,7
703,ыли заинтересованы в,13
704,ыли записаны ещё,7
705,ыли медведев и,8
706,ыли многообразные стр,12
707,ыли наконец сам,9
708,ыли невыносимо оди,11
709,ыли обращения к,9
710,ыли очень уж,4
711,ыли попытки отр,7
712,ыли похоронены в,9
713,ыли сделаны нео,6
714,ыли сразу же,6
715,ыли уйти из,7
716,ыли частью сов,5
717,ыло выбито с,5
718,ыло дано в,7
719,ыло доказано с,7
720,ыло еще сер,6
721,ыло еще хол,6
722,ыло задумано але,7
723,ыло заниматься сос,9
724,ыло заслужить пра,10
725,ыло израсходовано бол,10
726,ыло крайне сло,6
727,ыло наблюдать пря,10
728,ыло надо и,5
729,ыло назначено мое,8
730,ыло начато их,5
731,ыло небезопасно ни,11
732,ыло обеспечено лен,9
733,ыло окончательно отм,9
734,ыло осуждено чил,11
735,ыло показано луч,7
736,ыло посвящено 72-,12
737,ыло прекратить рас,11
738,ыло приказано вес,8
739,ыло приурочено к,9
740,ыло рабство в,5
741,ыло сказано еха,6
742,ыло совершить все,10
743,ыло считать рев,8
744,ыло увидеть соо,6
745,ыло цивилизованное пра,11
746,ыло юридических осн,8
747,рее разгоняться до,10
748,тро вращается зак,8
749,тро забиваются ило,9
750,тро надел пал,7
751,тро распознал нек,11
752,тро растущими рын,8
753,тро сошла на,8
754,ому наполнению наш,10
755,ный ремень без,7
756,вых вибрационных нас,11
757,ыть великой дер,7
758,ыть весьма пох,9
759,ыть выкроена за,5
760,ыть готовым к,7
761,ыть даже бол,5
762,ыть задним чис,5
763,ыть или не,4
764,ыть использована в,7
765,ыть использованы апп,7
766,ыть использованы в,7
767,ыть менее 4,5
768,ыть младше 20,6
769,ыть общественно опа,7
770,ыть понятно тол,7
771,ыть поставлен сов,8
772,ыть реорганизовано так,13
773,ыть рядовым инт,9
774,ыть учтены и,9
775,ыть частью тог,5
776,жет администрация тог,13
777,ета возросли до,11
778,ете третьего рей,6
779,ень командования вмс,7
780,ими проволочками сто,10
781,в абхазии и,5
782,в августе 197,2
783,в акабе буд,2
784,в англии нач,2
785,в англии пол,2
786,в апреле 192,5
787,в апреле сит,5
788,в археологических экс,10
789,в атомную про,2
790,в афганистане зах,10
791,в афганистане у,10
792,в аэропорт или,7
793,в аэропорту ещё,10
794,в аэропорту каи,10
795,в базе выс,3
796,в белоруссии 118,7
797,в беспочвенном пан,6
798,в библии ест,3
799,в биологии сей,6
800,в бланки пре,4
801,в более поз,3
802,в болезненный оча,5
803,в большой сте,3
804,в боях с,4
805,в британии отн,6
806,в брюхе ляг,4
807,в бытовых сит,7
808,в валенсию ник,5
809,в вашем про,3
810,в вашем сто,3
811,в вашингтоне тре,9
812,в великобритании и,12
813,в вене на,3
814,в вербное вос,3
815,в вергинском уни,3
816,в веревочку или,5
817,в верности пар,3
818,в ветер кос,3
819,в вибрациях хор,6
820,в виде воз,3
821,в виде пар,3
822,в виде пес,3
823,в виде ссы,3
824,в виде тек,3
825,в виду пре,5
826,в вину не,5
827,в вину пре,5
828,в виртуальную обл,7
829,в воде и,5
830,в военных дел,4
831,в возбуждении дел,9
832,в войну жил,6
833,в восстановлении жил,12
834,в восьмиметровой ком,12
835,в выборе раз,3
836,в выборной гон,3
837,в высокотехнологичных отр,16
838,в гашеной изв,5
839,в германии и,6
840,в германии или,6
841,в германии пок,6
842,в гефира воз,5
843,в главный хра,4
844,в глаза бед,6
845,в глаза окр,6
846,в голосе дик,3
847,в горах на,5
848,в горнолыжных клу,8
849,в городе кир,3
850,в городе кир,3
851,в городе мен,3
852,в госдуме общ,6
853,в государственной изм,7
854,в губительную для,5
855,в гуго и,5
856,в гудермесском рай,8
857,в далеком под,5
858,в дальнейшем и,7
859,в дальнейшем фин,7
860,в далёком буд,5
861,в двенадцатилетнем воз,13
862,в движении или,6
863,в действиях рос,3
864,в декабре 200,8
865,в дешифровке дре,8
866,в длиннополой шин,9
867,в дневное вре,7
868,в доме авс,3
869,в доме жар,3
870,в донецке мож,5
871,в духе эне,3
872,в душе не,5
873,в единый уче,2
874,в женеве нач,5
875,в живописи кон,3
876,в живых пле,5
877,в жизни все,3
878,в жизни лев,3
879,в жизни мен,3
880,в жилкомсервис вла,9
881,в заключение нес,8
882,в законе бег,5
883,в законе осл,5
884,в законодательной вла,9
885,в закрытый пар,6
886,в зале нах,3
887,в зале нов,3
888,в замкнутом про,3
889,в западной мед,3
890,в записи за,3
891,в застроенном пос,7
892,в защиту мар,5
893,в заявлении пос,7
894,в здании инк,4
895,в зеркальном вид,6
896,в зимний пер,3
897,в избирком с,8
898,в известное заб,5
899,в известную раз,5
900,в изгнании в,6
901,в именитом исп,6
902,в индии и,2
903,в индустриальной мос,10
904,в индустриальную эпо,10
905,в иной мир,4
906,в интеллектуальном сос,12
907,в интересах дел,7
908,в интересах пут,7
909,в ираке в,4
910,в иркутской губ,5
911,в исполнении кгб,8
912,в использовании ее,5
913,в истинности кот,2
914,в истории осв,5
915,в историческом пла,7
916,в итоге иск,4
917,в ищенко раз,2
918,в кабинет пер,7
919,в кабинет рас,7
920,в кабинете чин,7
921,в кадровых отд,3
922,в каждом из,3
923,в каждый из,3
924,в каир и,4
925,в каких объ,5
926,в какой на,5
927,в какой сте,5
928,в какой-то точ,5
929,в каком бан,5
930,в каком-то сов,3
931,в какую пет,5
932,в какую-то бан,5
933,в каналах рас,5
934,в карательные пох,5
935,в кардиостимуляторах и,3
936,в категорию экс,7
937,в кафе и,5
938,в качестве гер,3
939,в качестве гла,3
940,в качестве илл,3
941,в качестве мес,3
942,в качестве пис,3
943,в качестве пре,3
944,в квартирах жер,7
945,в книге зан,4
946,в княвицкой вол,4
947,в колхозе он,6
948,в комнате пов,3
949,в комнате с,3
950,в компании пло,6
951,в комплиментах пет,9
952,в конкуренции за,8
953,в конституционном суд,12
954,в конструкции дву,8
955,в контрактной зон,7
956,в контрольной гру,7
957,в конфликт с,7
958,в конце 30-,6
959,в конце 50-,6
960,в конце вос,6
961,в конце сез,6
962,в конце тек,6
963,в конце фил,6
964,в конце это,6
965,в корзины и,6
966,в королевском дом,7
967,в короткое зде,5
968,в костюмах не,6
969,в которой кон,5
970,в которой мог,5
971,в которой осу,5
972,в которой пом,5
973,в которой уме,5
974,в котором кол,5
975,в котором оно,5
976,в котором пиш,5
977,в которые с,5
978,в которых ест,5
979,в которых обн,5
980,в которых сло,5
981,в красной шап,4
982,в красноярском вое,8
983,в кремле исп,7
984,в кремле пер,7
985,в крестьянской сем,8
986,в кровавый тер,6
987,в крупных гор,4
988,в кубике зол,3
989,в культуру име,7
990,в кустанае в,8
991,в лабораториях еди,9
992,в лагере отб,3
993,в лице осн,5
994,в лицо кап,5
995,в лицо сыр,5
996,в лондон и,3
997,в любой док,5
998,в любую точ,5
999,в любую удо,5
1000,в магистратуре зап,11
1001,в мае 199,3
1002,в максимально выс,8
1003,в маленький вин,3
1004,в марте 200,3
1005,в марте 200,3
1006,в машиностроении огр,12
1007,в медицине нел,7
1008,в медицинской ком,7
1009,в мертвой гре,3
1010,в металлолом вме,10
1011,в метрополию сыр,8
1012,в механическую раб,7
1013,в минске поп,3
1014,в минске тог,3
1015,в мире бол,3
1016,в мире мог,3
1017,в мировой пра,7
1018,в миэф в,4
1019,в многомиллионных гор,12
1020,в многоотраслевое хоз,15
1021,в мои пла,4
1022,в море точ,3
1023,в морской ави,7
1024,в морской вод,7
1025,в московском гос,6
1026,в мэры мос,3
1027,в надежности дне,5
1028,в названии был,6
1029,в нанкине соб,6
1030,в наступление на,9
1031,в нато эти,3
1032,в науке нет,4
1033,в научных жур,4
1034,в нашей обл,3
1035,в нашем жур,3
1036,в неамбициозных сат,10
1037,в неблагонадежности был,12
1038,в неблагоприятных усл,12
1039,в нее дол,4
1040,в некоторые пос,3
1041,в некоторых стр,3
1042,в непосредственной бли,8
1043,в неправильный сек,6
1044,в непростых усл,9
1045,в несвободной стр,8
1046,в нескольких деб,3
1047,в нескольких шаг,3
1048,в несколько нан,3
1049,в новые про,3
1050,в номере рас,3
1051,в нормальной раб,6
1052,в ньютоновскую мод,4
1053,в области кос,2
1054,в области уро,2
1055,в объеме сре,5
1056,в один быс,4
1057,в один гол,4
1058,в одной тер,5
1059,в ожидании рас,6
1060,в оказании мат,6
1061,в окрестностях вел,5
1062,в окружении мех,7
1063,в окружность диа,5
1064,в операции зад,6
1065,в оплате их,5
1066,в оппозиционной мос,10
1067,в определенной пос,9
1068,в определенных усл,9
1069,в оптическом луч,5
1070,в организм реб,7
1071,в организме озн,7
1072,в основном име,8
1073,в основном наж,8
1074,в основном эле,5
1075,в основу тех,5
1076,в остальном уча,9
1077,в остановке кро,7
1078,в отечественных меж,4
1079,в открытую про,6
1080,в отличной фор,5
1081,в отмене егэ,5
1082,в отношении лун,7
1083,в отношении пре,7
1084,в отношении чет,7
1085,в отражении ноч,7
1086,в офисных при,2
1087,в официальном тур,7
1088,в парламент пер,6
1089,в парламенте кип,6
1090,в партнерских отн,7
1091,в паспорте и,3
1092,в пекин сир,5
1093,в первом тип,3
1094,в первоначальном вар,10
1095,в передаче сво,7
1096,в перестрелке с,9
1097,в периоде ста,5
1098,в персональных эвм,8
1099,в пиве во,3
1100,в плавании или,4
1101,в плену сам,6
1102,в повестку воп,5
1103,в повседневные шта,9
1104,в подвале дом,6
1105,в подготовке мат,8
1106,в подобного род,5
1107,в подсобных хоз,6
1108,в подчинение фсб,8
1109,в поисках кни,3
1110,в поисках наз,3
1111,в поисках ору,3
1112,в покорении вер,7
1113,в полет але,5
1114,в политической сфе,7
1115,в полутора дес,5
1116,в польше и,3
1117,в понедельник пре,7
1118,в попытках мод,5
1119,в пору пер,3
1120,в последние дес,6
1121,в последствиях кул,6
1122,в правительстве даж,6
1123,в праздничных мер,4
1124,в предварительном зак,9
1125,в пределах реа,6
1126,в предприятия одн,9
1127,в представлении не,11
1128,в предупреждении инф,12
1129,в предыдущем ном,8
1130,в пресловутом фит,9
1131,в приближении к,9
1132,в приемную и,5
1133,в приличном общ,4
1134,в применении изб,8
1135,в пример мен,6
1136,в принципе нен,4
1137,в природе изв,6
1138,в провинции бер,6
1139,в проектах мод,5
1140,в прозрачную до,7
1141,в происхождении не,4
1142,в промышленных усл,6
1143,в пространстве люд,8
1144,в прощеное вос,6
1145,в пугающе дли,5
1146,в пупкинском пед,3
1147,в пятницу пре,3
1148,в работе из-,5
1149,в работоспособном сос,12
1150,в развитых евр,3
1151,в различных сфе,6
1152,в размере 21,6
1153,в разные год,3
1154,в районе 58,5
1155,в районе баг,5
1156,в районе гор,3
1157,в районе евр,5
1158,в районе кал,5
1159,в рамках еди,3
1160,в рамках кла,3
1161,в рамках нац,3
1162,в рассмотрение так,10
1163,в расчёт вов,6
1164,в реакцию с,4
1165,в реальном дел,4
1166,в реестр нал,4
1167,в результате бол,9
1168,в результате был,9
1169,в результате гор,5
1170,в результате деф,9
1171,в результате кат,9
1172,в результате мар,9
1173,в результате неи,9
1174,в результате нес,9
1175,в результате пол,9
1176,в результате раз,9
1177,в результате ста,9
1178,в результате уме,9
1179,в результате яде,9
1180,в рейде буд,3
1181,в рейхстаг в,8
1182,в религиозном отн,8
1183,в ремонте и,5
1184,в республике арм,6
1185,в решении люб,5
1186,в риге 8,5
1187,в риме и,3
1188,в родной гор,6
1189,в родной гор,6
1190,в розовых меч,3
1191,в романе инт,5
1192,в россии вед,6
1193,в россии и,6
1194,в россии кло,6
1195,в россии око,6
1196,в россии пер,6
1197,в россии пол,6
1198,в россии поя,6
1199,в россии про,6
1200,в россии про,6
1201,в россии сли,6
1202,в российской гим,6
1203,в российской ист,6
1204,в российском гос,6
1205,в российском рук,6
1206,в россию за,6
1207,в россию это,6
1208,в руках аме,5
1209,в руках опе,5
1210,в руках с,5
1211,в руки либ,3
