,string,position
83,аб прынятым рад,5
84,аб сваёй сла,6
85,аб стане ввд,5
86,аб супрацоўніцтве ў,9
87,аб такой маг,6
88,аб увядзенні дад,8
89,аб узаемаразуменні з,14
90,аб формах ста,4
91,аб экалагічным зем,9
92,аб эфектыўных стр,8
93,аб ядзерных ава,3
94,ваў арганізацый з,11
95,ова хачу ў,7
96,вае патрабаванне для,12
97,зкі кіраўніка зат,12
98,іла літву ў,8
99,вюх краін сум,7
100,сны мастацкай муз,8
101,ным упраўленні мнс,10
102,ных этапаў кон,6
103,кам паабяцаў вый,10
104,ама анатоль вас,8
105,мен інфармацыяй з,10
106,ене інфармацыяй і,10
107,алі перспектывы інв,9
108,нні праекту буд,7
109,цца ўведзенымі ран,6
110,юць магчымасць узм,8
111,ены чорны спі,5
112,або з'яўленне ў,9
113,нуў частка жыл,5
114,ным пераможцам і,9
115,нні знешняга доў,9
116,аць якую буд,6
117,ння яшчэ не,4
118,ныя парушэнні дам,9
119,цае прамыслоўцам сяр,11
120,нія выступае пер,10
121,тва інвестыцый і,10
122,вам інвестыцый і,10
123,ыяў цяпер ста,5
124,лам юныя пры,4
125,най мэты па,5
126,ная плошча абв,6
127,ад асобных кра,5
128,ад беларусі на,8
129,ад вышэйстаячага кір,11
130,ад дыялогу з,7
131,ад мадэльных аге,6
132,ад парываў вет,6
133,ад смерці сва,5
134,ад яго еўр,5
135,ад ізаляцыі да,7
136,ад імя еўр,3
137,цца плацяжах па,10
138,ным баку нам,5
139,алі справаздачы ў,12
140,ляе перспектывы нар,12
141,ела метэаралагічных пра,14
142,ела інфармацыі і,10
143,ння новай фін,7
144,чае апазіцыйны пал,10
145,чае уладзімір няк,9
146,юць узмацненне ашч,10
147,ыла кэтрын эшт,5
148,ыла святлана рыб,9
149,чыў андрэй сав,8
150,зін чалавек заг,7
151,най пазіцыі ў,7
152,сці прыцягнулі ама,11
153,ных паслоў дзя,8
154,вае новы рэй,5
155,вае новыя нап,5
156,ючы новы сез,5
157,ага скажэння рэч,8
158,ыць сваю спр,6
159,ўся памілаваць асу,7
160,ным правапарушэннем і,14
161,аго вытворчага буд,8
162,ова вядучыя шоу,7
163,ння дыялогу па,8
164,цца сезонныя рэй,7
165,ным баку куп,7
166,ную інфармацыю ў,10
167,ныя прапановы ў,10
168,каў нашы клі,5
169,яць гэты пас,5
170,юць вельмі моц,5
171,нне нацыі з,5
172,сць святлоадбівальных эле,15
173,алі чэхі пас,5
174,аць сабе бел,7
175,улі паляпшэнне жыц,10
176,ным стабілізацыйным мер,14
177,нне незаконных фін,9
178,нні канвенцыі аб,8
179,нні канвенцыі бел,8
180,ялі гэта шля,5
181,амя цэнтральнага офі,9
182,ных яе ўдз,5
183,тна будзем пад,5
184,цый структуры абу,10
185,цый сумы да,5
186,але абавязкова хач,11
187,але галоўнымі гер,7
188,але дзякуючы інш,6
189,але кожная кра,5
190,але маю пра,5
191,але нават пад,5
192,але размаўляюць па-,11
193,але таксама і,8
194,але ўдзельнічаю з,7
195,ена пенязь абв,7
196,олю або з'я,6
197,лкі таксама пад,8
198,ндр лукашэнка зая,9
199,дра лукашэнкі нія,9
200,аль увесь нар,6
201,ліз знешняга доў,6
202,ліз няшчасных вып,8
203,ізу знешніх аба,6
204,ізу сістэмы кір,8
205,най запіскі аб,7
206,сці еўрапейскія дып,9
207,ння затрыманыя 109,8
208,каў будзе ў,5
209,най абвестцы аб,7
210,ных дадзеных мнс,5
211,шні падаў у,7
212,нім рашэннем рад,7
213,нія дэталі сцэ,7
214,ўку глебы на,6
215,цца дарогі р,7
216,нні найбольш акт,8
217,ваў паказчык пра,7
218,ямі гэтае смя,5
219,цыі працы міс,6
220,ага святланы ура,9
221,нае майстэрства і,9
222,ныя супрацоўнікі офі,10
223,вая ўвага даі,6
224,вым кантролем апы,9
225,тая помста дык,5
226,ных каштоўнасцяў рад,8
227,овы беларускай мов,9
228,най тэмай яко,5
229,ным рынку збы,5
230,бна можна раз,5
231,аем гэтыя абу,5
232,нем прывядзення ў,11
233,ілі разам з,5
234,зіў тэракт на,7
235,дзя віталь кул,7
236,нне максімальна маг,8
237,нне экалагічна чыс,10
238,маў указанне ад,8
239,аць менавіта гэт,9
240,най заяве кір,6
241,ных асоб і,6
242,овы здароўя сір,8
243,овы здароўя і,8
244,овы навакольнага ася,9
245,іць небяспеку і,10
246,нцы ўздзеяння на,8
247,еце моўную сіт,5
248,ілі гарышча ад,7
249,ных працэсаў у,8
250,аэс з'яўляюцца без,9
251,аэс камітэтам па,9
252,аэс падрыхтуюць да,11
253,аэс пачнуць у,8
254,нюс ажубаліс 9,8
255,б працаваць раз,8
256,аку купюры нам,7
257,аку намаляваны кал,11
258,акі абмеркавалі пер,12
259,анк беларусі даў,9
260,анк беларусі прэ,9
261,анк мае нам,5
262,нка беларусі №,9
263,нка надзеі ерм,8
264,ага абсталявання яшч,12
265,кае абсталяванне ў,12
266,кай справы пал,7
267,нкі гатовыя пра,7
268,умі будзе вык,5
269,ыце будучыню бел,5
270,ыць неабходнасці ў,9
271,без выліку пад,5
272,без доўгіх чак,5
273,без кансервантаў у,11
274,без праблемаў піс,9
275,без праблемаў чыт,9
276,без роднай мов,5
277,без ужывання мін,8
278,рус можа ў,5
279,ага аддзялення нов,10
280,ага дзяржаўнага эка,9
281,ага лідара аля,5
282,ага радыё бел,5
283,кае дзіцячае хар,8
284,кай аэс да,5
285,кай вучаць зам,5
286,кай дэлегацыі ў,9
287,кай касмічнай ста,8
288,кай мовы ў,5
289,кай прамысловасці скл,11
290,аму боку адп,5
291,кая мова зно,5
292,кая мова пад,5
293,кая мова і,5
294,кая служба рад,6
295,кую аэс пач,5
296,кую ведаюць і,5
297,скі прадукт пач,8
298,скі прэзідэнт зац,10
299,кім бокам пал,5
300,кім тэлебачанні пав,9
301,кіх афіцыйных асо,8
302,кіх грамадзян шля,11
303,кіх грамадзян і,11
304,кіх палітвязняў ста,10
305,кіх прадстаўнікоў пры,15
306,кіх уладаў не,6
307,кія банкі гат,5
308,кія вучоныя вын,7
309,кія ўлады выд,6
310,кія ўлады зан,6
311,кія ўлады маю,6
312,кія ўлады пры,6
313,усы зрабілі укл,6
314,усь выступіць пят,5
315,усь дала выч,5
316,усь здзейсніла сур,7
317,усь знаходзіцца пад,8
318,усь неадкладна ўве,5
319,усь плануе пер,8
320,усі адкліканых пас,8
321,усі адмовіўся пам,7
322,усі аляксандр лук,9
323,усі аналітычнай зап,10
324,усі андрэй сав,8
325,усі будуць вым,5
326,усі было зар,5
327,усі было на,5
328,усі вымушаны кан,5
329,усі магчымыя апа,8
330,усі нячаста і,7
331,усі павінен зра,7
332,усі прысудзіў іх,11
333,усі распрацаваны рэг,13
334,усі супрацьракавыя і,12
335,усі таксама пра,8
336,усі уладзімір сям,9
337,усі ідуць сле,6
338,бо гэта кал,4
339,бок еўрапейскага саю,9
340,бок шкадуе аб,8
341,кам палажэнняў кан,9
342,оку адпраўляецца як,11
343,оку беларускіх ула,9
344,оку замежных арг,7
345,льш аддаляе пер,9
346,льш сур'ёзныя эка,8
347,сць патанулых был,9
348,сці няма з,7
349,шая частка кан,5
350,эль мае нам,5
351,кая газета dai,7
352,аць беларускую аэс,9
353,тва астравецкай і,10
354,тва аэс кам,5
355,тва аэс у,5
356,тва беларускай аэс,9
357,вам беларускай і,9
358,тве беларускай аэс,9
359,дзе адпрацоўваць бар,10
360,дзе выконвацца што,7
361,дзе вырашана пры,5
362,дзе дастаткова пры,8
363,дзе каштаваць вял,10
364,дзе лёгка зна,5
365,дзе працаваць па,10
366,дзе прымаць раш,8
367,дзе трымацца ў,8
368,зем падымаць зар,9
369,зем працягваць гэт,11
370,уду займацца кар,8
371,уду размаўляць ужо,11
372,уду спяваць кам,8
373,уду ўдзельнічаць у,7
374,уць атрымліваць мен,7
375,уць вымяраць па,9
376,уць даступныя ў,8
377,уць загружаныя ў,8
378,уць маладыя спе,9
379,уць мяне раз,5
380,уць накіраваны на,11
381,уць пастаянна пры,9
382,уць тычыцца або,5
383,уць уводзіцца ў,6
384,ыню беларускай мов,9
385,няй пакуль не,7
386,ьба будзе каш,5
387,ьбы сёлета ў,5
388,ыла другі раз,6
389,ыла сорамна раз,5
390,ыло вельмі дзі,5
391,ыло вельмі цік,5
392,ыло даследавана 50,8
393,ыло зарэгістравана 256,9
394,ыло ніякіх пра,6
395,ыло прынята раш,6
396,ыло ўзгоднена зна,7
397,"ыло ўсяго 2,5",8
398,ылі дададзеныя 29,10
399,ылі зафіксаваныя 22,10
400,ылі прыведзены ў,8
401,ылі прывязаны і,8
402,ылі пятнаццаць дзя,8
403,ыць выкарыстана для,5
404,ыць заменена пав,7
405,ыць ніякага кам,6
406,быў шанец пак,5
407,чым годзе маг,5
408,екі кэтрын эшт,5
409,сам звязваць жыц,6
410,наў юрыя чыж,4
411,ва удаі мус,5
412,ва ўніверсітэце дзе,12
413,ёма гуляць раз,5
414,жна адпраўляць гэт,11
415,жна адчуваць саб,9
416,вым знешнім доў,6
417,юць вялікім воп,7
418,рта вярнуцца ў,8
419,вас зацікавіла бел,9
420,вас нагадвае сіт,7
421,вас тая ж,5
422,ьмі базавых вел,5
423,шай увазе мы,6
424,эль аль-халкі так,9
425,ввд беларусі і,9
426,даю дакладную сіт,8
427,даю прынамсі тро,8
428,ьмі акуратна буд,8
429,ьмі важна адп,5
430,ьмі дзіўныя адк,6
431,ьмі добра вед,8
432,ьмі добра вед,5
433,ьмі добра раз,5
434,ьмі жорстка адк,5
435,ьмі люблю джа,8
436,ьмі моцны пал,5
437,ьмі ясны пар,4
438,сію песні адм,5
439,кім раёне віц,6
440,тру сілай да,5
441,цер абрынуў час,9
442,чар абяцаў быц,8
443,сці выявіла кал,5
444,сці ўгледзела ў,7
445,уць удзел неп,7
446,вым абавязку ў,8
447,там угодаў з,6
448,сем атрымалі ран,9
449,ныя вынайшлі дам,7
450,ася толькі сам,5
451,вы ацэньваеце моў,5
452,вы бачыце буд,4
453,вы выканаеце гэт,4
454,вы вырашылі выв,4
455,вы гэта зро,4
456,вы павінны выз,6
457,вы павінны даз,6
458,вы разабраліся з,9
459,аць адносіны з,7
460,аць рэйсы са,5
461,юць магчымасць ств,8
462,ылі беларускую мов,9
463,ыць вашую мов,5
464,ння магчымасцяў пры,8
465,аць цела ула,5
466,юць цела і,5
467,нне стане спр,6
468,ння беларускіх пал,9
469,іць гэтых люд,5
470,іць усіх пал,6
471,ння далейшых нап,7
472,алі жаданне ўзя,5
473,вае сур'ёзную зак,8
474,аем сваю паз,7
475,нне кіроўцамі хут,7
476,нне пакарання да,9
477,нне смяротнага пак,8
478,нне смяротнага пры,8
479,нне смяротны пры,8
480,нне смяротнымі пры,8
481,нне смяротныя пры,8
482,нне судовага пры,7
483,нем правілаў дар,6
484,ння правіл абг,6
485,ння рэйсаў пра,5
486,ння рамянёў бяс,9
487,ння рамянёў бяс,10
488,ючы абавязкі кір,8
489,шлі дамскую сум,5
490,іку выбуху 11,5
491,іку галоўныя пры,7
492,іку гэтага яна,5
493,іку правядзення зба,11
494,іку яго заг,6
495,ках прычына пар,8
496,дку неабходнасці бел,9
497,аць лекі раз,5
498,ску лекавых сро,5
499,ыла вывучыць ваш,5
500,ылі вывучаць бел,9
501,нню гэтага кан,5
502,нні спрэчак бел,7
503,нні спрэчных пыт,7
504,ялі апошнія дэт,6
505,ага прадстаўніка ес,15
506,окі нават па,7
507,пае перавозчыкам алі,9
508,яць таксама сер,8
509,іць пятай у,5
510,ага будынка і,7
511,сці навукова-вытворчага цэн,9
512,ныя адказы на,7
513,ага кіраўніка з-з,12
514,чых кіраўнікоў за,12
515,шай меры пак,5
516,іла каля 30,5
517,омы музычны пра,7
518,чыя шоу зна,5
519,кім вопытам уго,5
520,ага суда ад,7
521,ўны прадстаўнік ес,13
522,сцы бароўка 19,7
523,іту беларускай дэл,9
524,рыя шаціла спр,7
525,іць беларусь у,9
526,аль кулік і,7
527,ага дзяржаўнага тэх,9
528,кай вобласці ў,5
529,кім абласным упр,10
530,ыне вецер здз,5
531,там карэйскага аге,7
532,'ер беларусі ула,9
533,'ер прывёў дад,8
534,дах сістэмы інд,8
535,дах таксама был,8
536,доў будзе выр,5
537,доў красавіка ў,12
538,доў сітуацыя зус,8
539,най задачай айч,7
540,ымі гераінямі был,8
541,ныя прызы кон,8
542,іне аховы зда,6
543,іне ядзернай бяс,4
544,іне ўкладчыкі ўно,7
545,тыі ўрада бел,6
546,ыня дома 195,5
547,овы прыступіць да,11
548,выя працаваць з,8
549,ямі былі пят,5
550,чам лацінаамерыканскі тан,16
551,ння міжнароднага пра,5
552,ода аблвыканкам паа,13
553,ода беларусы зра,9
554,ода дзякуючы дзе,6
555,ода налічаная сяр,7
556,ода намінальная нал,9
557,ода нараджэння і,10
558,ода паменшылася на,7
559,ода склалася на,7
560,ода яна выр,6
561,ода ўмацавалася на,10
562,дзе магчымасці выл,8
563,дзе сярэдняя зар,7
564,ага аблвыканкама ана,13
565,ага аблвыканкама наг,13
566,усы цяплей чым,5
567,зян шляхам пад,8
568,яне іншых кра,4
569,кім месцы ў,5
570,аты паслоў дзе,8
571,най сферы бел,6
572,най сферы ў,6
573,ымі сродкамі бел,6
574,кай вобласці выя,5
575,кай вобласці ўгл,5
576,дна прадала ква,8
577,дне паступала мно,10
578,цыі дзімітрыс кан,8
579,ісу беларускага рад,9
580,яць разам з,5
581,эта абсалютна вык,9
582,эта было вел,7
583,эта высокі нав,7
584,эта гаворыцца ў,7
585,эта звязана з,6
586,эта кажуць на,5
587,эта каласальны дос,9
588,эта можа зда,5
589,эта надзвычай важ,9
590,эта паведамляе afp,12
591,эта паведаміў 23,7
592,эта перспектыўны кір,12
593,эта прыводзіць да,8
594,эта рабіць і,7
595,эта разумеюць і,9
596,эта разумеюць ўсё,9
597,эта распавялі ва,10
598,эта трэба ўме,6
599,эта шляхам арг,6
600,ага года абл,5
601,ага года дзя,5
602,ага года нал,5
603,ага года нам,5
604,ага года ў,5
605,ага часу на,5
606,ага яна зас,6
607,тае смяротнае пак,8
608,тай падтрымкі від,9
609,тай праблеме не,9
610,тую дынаміку тлу,7
611,тую меру пак,5
612,тую суму за,5
613,эты пасыл бел,7
614,эты перыяд аві,7
615,эты прагноз з'я,9
616,тым летнім сез,5
617,тым плане на,6
618,тым спосабе пра,6
619,тым сірыйскія прэ,7
620,тым характэрны рос,10
621,ымі двума пад,8
622,тых людзей пра,8
623,тыя абуральныя пар,8
624,тыя рэкамендацыі буд,12
625,тра святлана рыб,9
626,да адказнасці за,6
627,да адказнасці пры,6
628,да адкрытага ска,7
629,да беларусі мы,8
630,да вадаёма гул,7
631,да васьмі баз,8
632,да верасня 201,4
633,да вышэйшай мер,6
634,да гэтага час,4
635,да дадаткова эмі,9
636,да дакладнага зем,7
637,да дзмітрыя кан,6
638,да запісу пес,4
639,да захавання без,8
640,да зніжэння рэн,7
641,да каго пер,6
642,да маладых люд,8
643,да мараторыя на,8
644,да міжнароднага дня,9
645,да падаражання пра,10
646,да прадстаўнікоў афі,14
647,да разгляду спр,8
648,да рэалізацыі ком,9
649,да саміту кір,4
650,да сваіх сем,6
651,да сваіх сяб,6
652,да снежня гэт,5
653,да стварэння сум,8
654,да такога ста,6
655,да трусоў і,7
656,да тэмы нав,4
657,да шэрагу бел,4
658,да экалагічнага зем,9
659,да яго абг,5
660,да яго пры,5
661,да яе поў,4
662,да якіх уве,5
663,чыя граматы пас,6
664,вых санкцый у,5
665,нае сальда зне,5
666,ным узроўнем рэа,7
667,ных аэс з'я,5
668,ена толькі ў,5
669,іць скараціць спа,10
670,нае земляробства мож,10
671,нты існуюць у,7
672,ала вычарпальныя адк,10
673,шае развіццё кан,11
674,шым нацыянальны бан,10
675,шых напрамкаў яе,8
676,раў нізкай для,5
677,кім пунктам пры,5
678,уць забяспечыць бяс,10
679,озе галасавых кам,11
680,озе першай бел,5
681,іла беларускіх пра,9
682,гах беларусі был,9
683,ага руху на,5
684,нем тэрмінова пер,10
685,нні прадстаўніка рэг,15
686,ыць публіцы шча,5
687,ася прадстаўніцы пол,13
688,ова прызнання з,9
689,нні беларусі ў,9
690,нні пастаўленай мэт,8
691,цца заключэння дву,10
692,цца многіх дзі,6
693,даі надасць вык,7
694,даі ўзмоцніць кан,7
695,даў справаздачу за,12
696,два месяцы 201,5
697,два тыдні сак,5
698,вух жылых дам,7
699,ага пагаднення аб,10
700,вых кансультацый па,12
701,выя кансультацыі і,12
702,зве дзяўчыны пра,9
703,дзе збіраюць 41,8
704,дзе таксама атр,8
705,сць беларускага адд,9
706,сць распаліла паж,10
707,сці гродзенскіх стр,6
708,сці фінансавай пір,7
709,ьці паміж гэт,7
710,нні супярэчаць наш,9
711,тры клеўжыц прэ,6
712,рый новік выс,5
713,рыю канавалаву і,9
714,рыя канавалава і,9
715,ючы дзейсным і,6
716,ючы іншым тэх,4
717,авы забараніў звя,11
718,ага тэхналагічнага ўні,12
719,ага эканамічнага ўні,10
720,ага ўніверсітэта вік,13
721,ага ўніверсітэта хры,13
722,каў тысяч дал,5
723,ткі мёртвых душ,5
724,чат вечар абя,5
725,чат павінна был,7
726,аты з’яўляліся ўдз,9
727,ыны прадставяць наш,10
728,чых устаноў рас,9
729,най зусім не,7
730,для аналізу сіс,6
731,для бакоў тэм,7
732,для дзяўчат веч,7
733,для мяне гэт,7
734,для павышэння яка,9
735,для палітычных лід,9
736,для праслухоўвання тэл,11
737,для сферы гра,6
738,для таго каб,7
739,дня роднай мов,5
740,нём паветра пра,7
741,бра ведаю рас,5
742,бра жывецца ў,7
743,ляй дзяржавы ў,9
744,таў кіраўнікоў ячэ,12
745,дзе такіх кра,7
746,оўг беларусі буд,9
747,гам беларусі так,7
748,ўгу банкаўскага сек,5
749,гіх чаканняў пач,7
750,гая віцэ-каралева вяс,14
751,іся кнігі і,6
752,мку аўдронюса ажу,8
753,мку уладзіміра няк,9
754,дух вогуле не,5
755,дух ніколі не,7
756,ды чэшскі дух,4
757,ала арышты і,6
758,іку абменнага кур,7
759,іку тлумачаць зна,8
760,ага ціску на,5
761,ныя крыніцы пав,8
762,тар нацыянальнага аге,10
763,тар ніжагародскай інж,11
764,муе міжнародную гра,10
765,ных элементаў буд,8
766,аць старую таб,8
767,таў фізічных асо,7
768,ес былі дад,6
769,ес варта вяр,4
770,ес застаецца ў,8
771,ес зрабіў з,7
772,ес маюць нам,4
773,ес пакуль не,6
774,ес пасылае ясн,8
775,ес пашырыў віз,6
776,ес плануе заб,7
777,ес прытрымлівацца адз,8
778,ес упіраецца мен,7
779,нту вярхоўны пра,8
780,скі саюз зра,6
781,скі саюз не,6
782,кія краіны выб,7
783,кія палітыкі зна,7
784,кія партнёры был,9
785,аюз мае нам,5
786,аюз пашырыў сан,7
787,аюз таксама пас,8
788,юза было пры,7
789,юза гэта аба,5
790,юза рашэнні аб,7
791,опы рашуча асу,7
792,ж датычыцца мно,5
793,ж усё ўпі,4
794,ына перавяла гэт,11
795,нку прэзідэнта кра,10
796,тка адказаць на,9
797,уры сваю сцэ,7
798,рка гродна пра,6
799,з 200-тысячнай куп,7
800,з апошнім раш,4
801,з асноватворных каш,10
802,з асуджэннем пры,7
803,з ацэнкай пак,4
804,з беларускім зак,7
805,з беларускімі ўла,5
806,з беларуссю з,7
807,з беларуссю на,7
808,з беларуссю ў,7
809,з боку аўд,3
810,з боку бел,3
811,з боку бел,3
812,з боку зам,3
813,з будаўніцтвам бел,8
814,з вызваленнем пал,8
815,з вялікім здз,5
816,з вярхоўнага суд,6
817,з візітам у,5
818,з віцебскага дзя,3
819,з грэцыі дзі,4
820,з гэтым ва,3
821,з гэтым мер,3
822,з гэтым паг,3
823,з гэтым пры,3
824,з гэтымі пыт,3
825,з даручэннем тэр,7
826,з дзяўчат пав,7
827,з доляй дзя,3
828,з дэкаратыўных эле,9
829,з замежнай мов,5
830,з кампаніяй на,6
831,з карэйскімі кам,5
832,з лагатыпам гэт,7
833,з літвой з,6
834,з магічнымі пра,5
835,з мадэльным біз,5
836,з матэрыяльнай шко,8
837,з метадалогіяй між,9
838,з мэтай выв,3
839,з нагоды аст,5
840,з нагоды буд,5
841,з намеснікам мін,5
842,з нацыянальным аге,8
843,з новай куп,3
844,з паляпшэннем ста,8
845,з пачаткам год,5
846,з пачатку год,5
847,з пачатку пра,5
848,з пераважнай дол,7
849,з прагнозам гід,7
850,з прапановай лук,8
851,з прыярытэтных нап,9
852,з пункту гле,3
853,з размоўнаю мов,6
854,з рахункаў у,5
855,з рэпертуару bey,9
856,з студзенем гэт,4
857,з удзелам кар,5
858,з уласнай паз,4
859,з улікам нац,4
860,з улікам пал,4
861,з улікам рос,4
862,з улікам таг,4
863,з імі сва,2
864,з інфляцыйных тэн,8
865,з іншымі між,2
866,ася інфармацыя і,10
867,цца незваротнай і,10
868,цца парушэннем між,7
869,цца юрыдычнае суп,8
870,цца абавязковымі з,11
871,цца грамадзяне інш,11
872,-за мяжы з,7
873,за выкананнем пдр,8
874,за выкананнем пра,8
875,за гэтае раш,4
876,за гэтых дар,4
877,за мінулыя сут,6
878,за парушэнне пдр,8
879,за перавышэнне хут,10
880,за працу ў,5
881,за разгляданы пер,8
882,за саўдзел у,8
883,за тэракт у,6
884,за тэракт уск,6
885,за якія пра,5
886,ніў звяртацца да,9
887,ыць бяспеку на,8
888,ыць яму кам,6
889,нне грашовымі сро,8
890,ала першакурсніца гро,10
891,дзя пастаўлены ў,8
892,чай айчынных нав,7
893,ўга працягваецца рус,8
894,цца кар’ерай мад,8
895,юся эстраднай хар,8
896,амі логікі пры,5
897,сць прыведзенымі ў,8
898,ыць пагадненне аб,10
899,ння двухбаковага паг,9
900,кае беларусь неа,9
901,алі беларускія ўла,9
902,каў беларусь да,9
903,каў еўрапейскія кра,9
904,каў улады бел,6
905,уць кампаній юры,8
906,най валютах на,7
907,най валюты над,7
908,най мовай і,5
909,най экспансіі кар,8
910,ных арганізатараў пір,11
911,ных справах і,7
912,ных інвестараў аб,7
913,ных інвестыцый у,10
914,ена паверхневай апр,7
915,іць ворыва на,7
916,дта перакананы ў,9
917,алі адной з,7
918,цца сумесным вып,7
919,іць свечкі ў,6
920,аны вядомы муз,7
921,ыты з'яўляюцца аба,9
922,най платы бол,6
923,ная плата раб,6
924,іць нармальныя гро,8
925,ата павялічылася ў,9
926,ата работнікаў ахо,7
927,ата работнікаў был,7
928,ата рабочых і,7
929,"ата склала 2,9",7
930,"ата склала 3,4",7
931,цца закладнікамі лог,8
932,нні канвенцыі эсп,8
933,іла беларуская мов,9
934,ася інвестыцыйнымі маг,12
935,яве кіраўнік кам,10
936,явы беларускага лід,9
937,іла вярхоўны пра,8
938,іла крыніца аге,8
939,іла старшыня кам,11
940,віў першы віц,5
941,ляе уладзімір няк,9
942,нні беларусі і,9
943,юся здзіўляць сва,8
944,рот паступова і,10
945,аць сваю буд,7
946,аць жыццё не,5
947,аць жыццё са,8
948,тае ўвагу на,6
949,юць увагу на,6
950,ная вікторыя шац,8
951,іла сур'ёзныя пар,8
952,ілі тыя зла,5
953,муў частку дом,5
954,яць сваёй хар,7
955,тва можа даз,5
956,тва прыводзіць да,8
957,тве дзмітрый луж,7
958,гла прадставіць выр,10
959,глі яго выр,6
960,цца расходы ўгн,8
961,цца сітуацыя ў,8
962,яць сваю пар,7
963,цца закон аб,7
964,ным дадатным узр,7
965,яга гандлю і,5
966,яга доўгу бан,5
967,яга доўгу ў,5
968,нім доўгам бел,5
969,ніх абавязацельстваў арг,10
970,ніх пазык арг,5
971,ноў атрымае сво,7
972,ноў загучыць у,9
973,нне пасяўных пло,7
974,нне тэмпаў інф,5
975,нем знешнеэканамічных дыс,16
976,ння рэнтабельнасці выт,8
977,яць аварыйнасць ў,8
978,ныя рэзервы кра,7
979,нке занэле маё,7
980,біў яшчэ адз,7
981,ася група інт,6
982,іся ўдзельніцамі ўні,7
983,каб беларускія вуч,9
984,каб людзі адч,5
985,ёва атрымалі ліс,9
986,ёва будзе пра,5
987,ёва камітэтам па,9
988,ныя пытанні суд,7
989,аго перакананы на,11
990,ывы праводзілі апо,11
991,аля дзесяці імё,10
992,алі беларускі прэ,9
993,алі беларусы не,9
994,алі зменіцца сіт,6
995,алі раней был,7
996,алі расліна выс,8
997,алі сярэдняя тэм,7
998,алі яны рап,6
999,кай атамных эле,4
1000,ній юрыя чыж,4
1001,нію супраць смя,5
1002,нія падпісала мем,10
1003,ніі валодаюць вял,7
1004,ніі плануюць зак,8
1005,нае існаванне пры,9
1006,тэт міністраў ре,7
1007,тэт папрасіў бел,10
1008,эта звяртае ўва,9
1009,эта зонке зан,5
1010,эце міністраў ре,7
1011,цыі беларусь дал,9
1012,цыі эспо пры,7
1013,так прадэманстравала сва,17
1014,ткі дапамагалі ім,11
1015,ваў начальнік упр,7
1016,там запрошаны вяд,8
1017,лем апынуцца дар,8
1018,кту паміж мін,7
1019,нцы месяца ў,5
1020,цыі кіравання вал,9
1021,ене заклікаў ес,8
1022,цыя паўднёвай кар,9
1023,ага агенцтва па,6
1024,ага капіталу па,9
1025,імі кампаніямі ў,8
1026,рэя хоча інв,5
1027,іка нацыянальная аві,10
1028,аць вялікіх гро,7
1029,цяў рады еўр,5
1030,кдб спыніў дзе,8
1031,кдб убачыў у,6
1032,жыц прэзентаваў інв,13
1033,баў панавала нер,9
1034,нты маглі выб,8
1035,ная краіна буд,7
1036,ная ўдзельніца пры,7
1037,жны беларус мож,9
1038,сць ападкаў буд,6
1039,сць рэйсаў у,5
1040,урс паедзе маг,6
1041,сах прыгажосці і,10
1042,рсе большая час,5
1043,рсе будзе гур,8
